999999,   3243,   1791,    491,   3636,   2002,   2101,   2537,   2134,   1930,   3394,   2596,   2586,   2167,   3624,   1488,   2722,   2176,   1694,   2089,   1912,   3566,   2184,   1828,   2651,   1784,   1737,   3664,   3464,   3292,   1642,   3999,   3980,   2414,   1092,   1861,   3966,   2620,   2118,   1838,   1408,   1970,   4090,   2592,   2645,   1484,   2029,   3925,   3754,   3277,   2086,   1839
  3213, 999999,   1900,   2919,    998,   1629,   1252,    835,   1337,   1550,   2742,    834,   1096,   2164,    910,   2431,    588,   1285,   1957,   3659,   1459,    582,   1670,   1591,   1634,   1459,   1904,   1023,    993,    377,   1627,   2011,   1633,    988,   2393,   1455,    983,    718,   1604,   1900,   2351,   1490,   1107,   1056,    798,   1737,   1627,   1002,   3069,    354,   1161,   1692
  1771,   1914, 999999,   1477,   2307,    486,    772,   1208,    703,    435,   2472,   1267,   1303,   1359,   2295,   1339,   1393,    847,    113,   2218,    679,   2237,    903,    673,   1371,    580,    885,   2335,   2135,   1963,    481,   2722,   2697,   1085,    951,    482,   2637,   1291,    838,    103,   1259,    462,   2761,   1264,   1316,    320,    513,   2596,   3337,   1948,    758,    255
   483,   2907,   1455, 999999,   3300,   1666,   1764,   2201,   1798,   1594,   3058,   2260,   2250,   1831,   3288,   1152,   2386,   1840,   1358,   1782,   1576,   3230,   1848,   1492,   2315,   1448,   1401,   3328,   3127,   2956,   1306,   3663,   3644,   2078,    604,   1525,   3630,   2284,   1782,   1502,   1072,   1634,   3754,   2256,   2309,   1148,   1693,   3589,   3418,   2941,   1750,   1503
  3611,   1010,   2298,   3317, 999999,   2028,   1650,   1233,   1735,   1948,   1924,   1233,   1363,   2149,    167,   2829,    916,   1683,   2355,   3815,   1857,   1347,   1894,   1989,   1292,   1857,   2302,     28,    175,    703,   2025,   1193,    647,   1386,   2791,   1854,   1747,   1115,   1838,   2298,   2749,   1888,   1871,   1285,   1195,   2135,   2025,   1609,   2251,   1058,   1559,   2091
  1987,   1606,    507,   1693,   1999, 999999,    463,    900,    275,    189,   2218,    959,    996,   1105,   1987,   1368,   1085,    452,    564,   2434,    399,   1929,    624,    532,   1091,    400,    841,   2027,   1826,   1655,    430,   2443,   2418,    774,   1167,    237,   2329,    983,    558,    507,   1288,    131,   2453,    955,   1008,    536,    114,   2288,   3083,   1640,    449,    265
  2069,   1250,    756,   1775,   1643,    486, 999999,    544,    193,    406,   2133,    603,    640,   1020,   1631,   1287,    729,    183,    813,   2515,    315,   1573,    526,    447,    940,    315,    760,   1671,   1471,   1299,    483,   2147,   2122,    421,   1249,    312,   1973,    627,    406,    756,   1207,    346,   2097,    600,    652,    593,    483,   1932,   2998,   1284,     94,    548
  2513,    838,   1200,   2220,   1231,    930,    552, 999999,    638,    851,   2246,    236,    400,   1465,   1219,   1732,    317,    585,   1257,   2960,    759,   1161,    970,    892,    938,    760,   1205,   1260,   1059,    887,    928,   2014,   1873,    177,   1694,    756,   1561,    258,    905,   1201,   1652,    790,   1685,    359,    285,   1038,    928,   1521,   3073,    872,    461,    993
  2112,   1347,    733,   1819,   1740,    311,    205,    636, 999999,    399,   2176,    700,    737,   1064,   1728,   1331,    826,    177,    790,   2559,    358,   1670,    569,    491,   1037,    359,    804,   1768,   1568,   1396,    527,   2294,   2269,    500,   1293,    355,   2070,    724,    504,    734,   1251,    317,   2194,    696,    749,    637,    301,   2029,   3042,   1381,    191,    478
  1873,   1546,    393,   1579,   1940,    123,    404,    841,    374, 999999,   2118,    899,    924,   1005,   1927,   1235,   1025,    479,    450,   2319,    300,   1869,    524,    432,    992,    300,    708,   1968,   1767,   1595,    296,   2343,   2318,    717,   1053,    103,   2270,    924,    459,    393,   1155,     97,   2394,    896,    949,    406,    149,   2229,   2983,   1581,    390,    186
  3381,   2756,   2521,   3088,   1927,   2251,   2162,   2244,   2195,   2139, 999999,   2271,   1878,   1304,   1914,   1977,   2418,   2237,   2578,   2251,   1986,   3093,   1919,   1907,   1312,   1978,   2423,   1955,   1817,   2449,   2146,   1024,   2088,   2243,   2730,   2045,   3493,   2296,   2025,   2521,   2049,   2116,   3617,   1985,   2167,   2256,   2277,   3356,   1128,   2804,   2148,   2314
  2527,    760,   1214,   2233,   1153,    944,    566,    188,    652,    864,   2257, 999999,    410,   1478,   1141,   1746,    239,    599,   1271,   2974,    773,   1082,    984,    905,    949,    774,   1219,   1181,    980,    808,    942,   1987,   1794,    317,   1707,    770,   1483,    137,    919,   1214,   1666,    804,   1607,    370,    121,   1051,    941,   1442,   3046,    794,    475,   1007
  2563,   1089,   1291,   2269,   1363,   1020,    643,    395,    728,    924,   1875,    442, 999999,   1276,   1350,   1781,    568,    676,   1348,   3009,    809,   1412,    822,    941,    567,    809,   1254,   1391,   1190,   1138,    977,   1643,   1618,    394,   1743,    830,   1813,    466,    702,   1291,   1701,    881,   1936,    136,    485,   1087,   1018,   1772,   2702,   1123,    552,   1083
  2454,   2163,   1380,   2161,   2077,   1110,   1021,   1458,   1054,    998,   1259,   1516,   1217, 999999,   2065,   1113,   1642,   1096,   1437,   1938,    845,   2486,    852,    766,    811,    836,   1282,   2105,   1904,   2212,   1005,   1874,   2333,   1334,   1770,    904,   2886,   1540,   1039,   1380,   1122,    974,   3010,   1324,   1565,   1114,   1136,   2846,   1978,   2197,   1007,   1173
  3609,    923,   2296,   3315,    167,   2026,   1648,   1231,   1733,   1946,   1922,   1231,   1361,   2147, 999999,   2827,    914,   1681,   2353,   3813,   1855,   1260,   1892,   1987,   1290,   1855,   2301,    183,    173,    616,   2023,   1191,    793,   1384,   2789,   1852,   1660,   1113,   1836,   2296,   2748,   1886,   1784,   1283,   1193,   2133,   2023,   1522,   2249,    971,   1557,   2089
  1486,   2491,   1350,   1193,   2847,   1357,   1348,   1785,   1382,   1270,   1988,   1844,   1834,    936,   2834, 999999,   1970,   1424,   1254,   1383,   1160,   2814,   1343,   1076,   1580,   1032,    530,   2875,   2674,   2540,   1063,   2603,   3102,   1662,    835,   1201,   3214,   1868,   1366,   1398,    154,   1301,   3338,   1840,   1893,   1043,   1383,   3173,   2348,   2525,   1334,   1269
  2695,    600,   1382,   2401,    914,   1112,    734,    317,    819,   1032,   2425,    316,    578,   1646,    902,   1913, 999999,    767,   1439,   3142,    941,    923,   1152,   1073,   1116,    941,   1386,    942,    742,    649,   1109,   1822,   1556,    470,   1875,    938,   1324,    200,   1086,   1382,   1833,    972,   1448,    538,    280,   1219,   1109,   1283,   2881,    635,    643,   1175
  2141,   1290,    813,   1848,   1683,    487,    180,    584,    177,    472,   2205,    643,    680,   1092,   1671,   1360,    769, 999999,    870,   2588,    387,   1613,    598,    520,   1066,    388,    833,   1711,   1510,   1339,    556,   2294,   2270,    461,   1321,    384,   2013,    667,    533,    813,   1280,    403,   2137,    639,    692,    666,    478,   1972,   3070,   1324,    133,    606
  1673,   1971,    113,   1379,   2365,    544,    829,   1266,    761,    492,   2519,   1324,   1361,   1406,   2352,   1241,   1450,    904, 999999,   2120,    736,   2294,    961,    720,   1428,    637,    932,   2393,   2192,   2020,    534,   2779,   2755,   1143,    853,    540,   2695,   1349,    895,    161,   1162,    520,   2819,   1321,   1374,    367,    570,   2654,   3384,   2006,    815,    312
  2091,   3686,   2234,   1821,   3829,   2445,   2543,   2980,   2577,   2373,   2258,   3039,   3029,   1911,   3817,   1379,   3165,   2619,   2137, 999999,   2355,   4009,   2627,   2271,   2718,   2227,   1828,   3857,   3719,   3735,   2085,   2873,   3991,   2857,   1604,   2304,   4409,   3063,   2561,   2281,   1452,   2413,   4533,   3035,   3088,   1927,   2472,   4368,   2618,   3720,   2529,   2282
